modality_key,modality_set,channels,n_channels,n_windows,test_class_counts,valid_three_class_test,test_accuracy,test_macro_f1,transition_recall,best_epoch,epochs_trained,early_stopped,run_dir,rank_macro_f1
vibration,Vibration,vibration::Y at 19.5 m of the blade; vibration::Y at 41 m of the blade; vibration::Z at 19.5 m of the blade; vibration::Z at 41 m of the blade,4,576,"Normal:55, Transition:9, Anomaly:28",True,0.967391304347826,0.943035157988429,1.0,15,30,True,runs/modality_impact_vibration,1
strain,Strain,strain::Leaf 19.5 m after strain; strain::Leaf 19.5 m before strain; strain::Leaf 41 m after strain; strain::Leaf 41 m before strain,4,576,"Normal:55, Transition:9, Anomaly:28",True,0.9565217391304348,0.9387125220458553,0.8888888888888888,16,31,True,runs/modality_impact_strain,2
load_vibration,Load + vibration,load::E at 19.5 m of the blade; load::E at 41 m of the blade; load::F at 19.5 m of the blade; load::F at 41 m of the blade; vibration::Y at 19.5 m of the blade; vibration::Y at 41 m of the blade; vibration::Z at 19.5 m of the blade; vibration::Z at 41 m of the blade,8,576,"Normal:55, Transition:9, Anomaly:28",True,0.967391304347826,0.9321674615792263,0.7777777777777778,7,22,True,runs/modality_impact_load_vibration,3
load_strain,Load + strain,load::E at 19.5 m of the blade; load::E at 41 m of the blade; load::F at 19.5 m of the blade; load::F at 41 m of the blade; strain::Leaf 19.5 m after strain; strain::Leaf 19.5 m before strain; strain::Leaf 41 m after strain; strain::Leaf 41 m before strain,8,576,"Normal:55, Transition:9, Anomaly:28",True,0.9565217391304348,0.9291747888239116,0.8888888888888888,21,36,True,runs/modality_impact_load_strain,4
strain_vibration,Strain + vibration,strain::Leaf 19.5 m after strain; strain::Leaf 19.5 m before strain; strain::Leaf 41 m after strain; strain::Leaf 41 m before strain; vibration::Y at 19.5 m of the blade; vibration::Y at 41 m of the blade; vibration::Z at 19.5 m of the blade; vibration::Z at 41 m of the blade,8,576,"Normal:55, Transition:9, Anomaly:28",True,0.9456521739130435,0.9050585966473816,0.8888888888888888,21,36,True,runs/modality_impact_strain_vibration,5
load,Load,load::E at 19.5 m of the blade; load::E at 41 m of the blade; load::F at 19.5 m of the blade; load::F at 41 m of the blade,4,576,"Normal:55, Transition:9, Anomaly:28",True,0.9456521739130435,0.8869457692987105,0.6666666666666666,6,21,True,runs/modality_impact_load,6
main_mechanical,Load + strain + vibration,load::E at 19.5 m of the blade; load::E at 41 m of the blade; load::F at 19.5 m of the blade; load::F at 41 m of the blade; strain::Leaf 19.5 m after strain; strain::Leaf 19.5 m before strain; strain::Leaf 41 m after strain; strain::Leaf 41 m before strain; vibration::Y at 19.5 m of the blade; vibration::Y at 41 m of the blade; vibration::Z at 19.5 m of the blade; vibration::Z at 41 m of the blade,12,576,"Normal:55, Transition:9, Anomaly:28",True,0.9456521739130435,0.8573021181716834,0.4444444444444444,15,30,True,runs/modality_impact_main_mechanical,7
all_sensor,All six sensor tables,load::E at 19.5 m of the blade; load::E at 41 m of the blade; load::F at 19.5 m of the blade; load::F at 41 m of the blade; strain::Leaf 19.5 m after strain; strain::Leaf 19.5 m before strain; strain::Leaf 41 m after strain; strain::Leaf 41 m before strain; vibration::Y at 19.5 m of the blade; vibration::Y at 41 m of the blade; vibration::Z at 19.5 m of the blade; vibration::Z at 41 m of the blade; temperature::Y at 19.5 m of the blade; temperature::Y at 41 m of the blade; temperature::leaf root; extended_load::E of the leaf root; extended_load::F of the leaf root; extended_strain::Chord at 19.5 m of the blade; extended_strain::Chord at 41 m of the blade,19,165,"Normal:28, Transition:0, Anomaly:0",False,1.0,0.3333333333333333,0.0,1,16,True,runs/modality_impact_all_sensor,8
all_sensor_plus_operating,All sensor tables + operating variables,load::E at 19.5 m of the blade; load::E at 41 m of the blade; load::F at 19.5 m of the blade; load::F at 41 m of the blade; strain::Leaf 19.5 m after strain; strain::Leaf 19.5 m before strain; strain::Leaf 41 m after strain; strain::Leaf 41 m before strain; vibration::Y at 19.5 m of the blade; vibration::Y at 41 m of the blade; vibration::Z at 19.5 m of the blade; vibration::Z at 41 m of the blade; temperature::Y at 19.5 m of the blade; temperature::Y at 41 m of the blade; temperature::leaf root; extended_load::E of the leaf root; extended_load::F of the leaf root; extended_strain::Chord at 19.5 m of the blade; extended_strain::Chord at 41 m of the blade; wind_speed; rotate_speed; pitch_angle; wind_power,23,165,"Normal:28, Transition:0, Anomaly:0",False,1.0,0.3333333333333333,0.0,1,16,True,runs/modality_impact_all_sensor_plus_operating,8
extended_load,Extended load,extended_load::E of the leaf root; extended_load::F of the leaf root,2,165,"Normal:28, Transition:0, Anomaly:0",False,1.0,0.3333333333333333,0.0,1,16,True,runs/modality_impact_extended_load,8
extended_strain,Extended strain,extended_strain::Chord at 19.5 m of the blade; extended_strain::Chord at 41 m of the blade,2,165,"Normal:28, Transition:0, Anomaly:0",False,1.0,0.3333333333333333,0.0,1,16,True,runs/modality_impact_extended_strain,8
main_plus_extended,Main mechanical + extended load/strain,load::E at 19.5 m of the blade; load::E at 41 m of the blade; load::F at 19.5 m of the blade; load::F at 41 m of the blade; strain::Leaf 19.5 m after strain; strain::Leaf 19.5 m before strain; strain::Leaf 41 m after strain; strain::Leaf 41 m before strain; vibration::Y at 19.5 m of the blade; vibration::Y at 41 m of the blade; vibration::Z at 19.5 m of the blade; vibration::Z at 41 m of the blade; extended_load::E of the leaf root; extended_load::F of the leaf root; extended_strain::Chord at 19.5 m of the blade; extended_strain::Chord at 41 m of the blade,16,165,"Normal:28, Transition:0, Anomaly:0",False,1.0,0.3333333333333333,0.0,1,16,True,runs/modality_impact_main_plus_extended,8
main_plus_temperature,Main mechanical + temperature,load::E at 19.5 m of the blade; load::E at 41 m of the blade; load::F at 19.5 m of the blade; load::F at 41 m of the blade; strain::Leaf 19.5 m after strain; strain::Leaf 19.5 m before strain; strain::Leaf 41 m after strain; strain::Leaf 41 m before strain; vibration::Y at 19.5 m of the blade; vibration::Y at 41 m of the blade; vibration::Z at 19.5 m of the blade; vibration::Z at 41 m of the blade; temperature::Y at 19.5 m of the blade; temperature::Y at 41 m of the blade; temperature::leaf root,15,165,"Normal:28, Transition:0, Anomaly:0",False,1.0,0.3333333333333333,0.0,1,16,True,runs/modality_impact_main_plus_temperature,8
temperature,Temperature,temperature::Y at 19.5 m of the blade; temperature::Y at 41 m of the blade; temperature::leaf root,3,165,"Normal:28, Transition:0, Anomaly:0",False,1.0,0.3333333333333333,0.0,1,16,True,runs/modality_impact_temperature,8
