scenario,display,kind,value,accuracy,macro_f1,expected_calibration_error,mean_confidence,mean_entropy,incorrect_count
Clean,Clean,clean,0.0,0.9782608695652174,0.9569023569023569,0.032449048498402494,0.9472317695617676,0.1576273888349533,2
Gaussian noise sigma=0.05,"Noise
$\sigma=0.05$",noise,0.05,0.9565217391304348,0.9138047138047138,0.04794932513133342,0.9502304792404175,0.15863004326820374,4
Gaussian noise sigma=0.10,"Noise
$\sigma=0.10$",noise,0.1,0.9239130434782609,0.8237954768928221,0.017241315349288622,0.9411543011665344,0.17681652307510376,7
Gaussian noise sigma=0.20,"Noise
$\sigma=0.20$",noise,0.2,0.8913043478260869,0.7643901420217208,0.07216623555059015,0.9349479079246521,0.18369489908218384,10
Random missing rate=0.05,"Missing
$p=0.05$",missing,0.05,0.967391304347826,0.9321674615792263,0.056477685985357864,0.9443878531455994,0.16193081438541412,3
Random missing rate=0.10,"Missing
$p=0.10$",missing,0.1,0.9456521739130435,0.9142566936684583,0.04950934033031051,0.9385442137718201,0.1662864089012146,5
Random missing rate=0.20,"Missing
$p=0.20$",missing,0.2,0.8804347826086957,0.7327302327302329,0.09371477365493777,0.9395301938056946,0.16908052563667297,11
Load modality dropout,"Load
dropout",modality_dropout,load,0.9130434782608695,0.7592193117616847,0.05590908682864647,0.9208946824073792,0.22647066414356232,8
Strain modality dropout,"Strain
dropout",modality_dropout,strain,0.75,0.4979114452798663,0.2203519694183184,0.9703519344329834,0.08680173009634018,23
Vibration modality dropout,"Vibration
dropout",modality_dropout,vibration,0.5978260869565217,0.42002442002442003,0.3487988522519236,0.9466248154640198,0.16000418365001678,37
