t,load::E at 19.5 m of the blade,load::E at 41 m of the blade,load::F at 19.5 m of the blade,load::F at 41 m of the blade,strain::Leaf 19.5 m after strain,strain::Leaf 19.5 m before strain,strain::Leaf 41 m after strain,strain::Leaf 41 m before strain,vibration::Y at 19.5 m of the blade,vibration::Y at 41 m of the blade,vibration::Z at 19.5 m of the blade,vibration::Z at 41 m of the blade,wind_speed,rotate_speed,pitch_angle,wind_power
2023-08-16 00:00:00,359.28015,-4.8389,1552.1974500000001,541.54895,229.99305,794.4217000000001,233.10815,569.3094,1.60765,1.2229,0.12905,0.45220000000000005,6.3,7.545,3.06,597.0
2023-08-16 00:01:00,562.09265,56.5166,1620.088,595.2089,328.5716,835.1366499999999,274.961,587.0359,1.65755,1.23065,0.0954,0.29000000000000004,6.4,7.505,1.8650000000000002,659.0
2023-08-16 00:02:00,553.794,21.9988,1717.24145,618.04825,285.68960000000004,912.8581999999999,283.72569999999996,651.5391,1.6320999999999999,1.2157,0.2211,0.4465,6.35,7.29,0.14,635.5
2023-08-16 00:03:00,444.21664999999996,3.7982,1581.62155,593.78095,257.2964,837.6664,260.2599,605.2654,1.64275,1.22125,0.2052,0.41525,5.6,7.075,0.14,483.0
2023-08-16 00:04:00,603.16265,41.4928,1629.1217499999998,598.26485,320.8875,847.33365,290.4988,611.0113,1.6509,1.2424,0.07145,0.35435,5.1,7.44,0.44,468.5
2023-08-16 00:05:00,267.86755,-2.59915,1354.2528499999999,488.78155,237.74214999999998,717.2261000000001,193.03064999999998,531.04075,1.601,1.20735,0.20415,0.4145,6.35,7.475,3.885,594.0
2023-08-16 00:06:00,634.1073,59.72445,1772.09575,635.4018000000001,334.17785000000003,867.69245,296.19425,622.1712,1.6524,1.2067999999999999,0.0302,0.24659999999999999,6.5,7.6,0.12,717.5
2023-08-16 00:07:00,414.04044999999996,-12.67795,1718.95035,625.7362499999999,260.12925,919.2628500000001,271.85735,647.29895,1.638,1.20575,0.19945000000000002,0.4889,6.0,7.445,0.215,610.0
2023-08-16 00:08:00,508.17545,45.14065,1610.31645,563.9037,317.3397,803.81185,277.18815,593.12415,1.6747,1.24895,0.1822,0.3248,6.0,7.53,2.05,615.0
2023-08-16 00:09:00,408.168,-4.53695,1612.17525,597.62955,263.4278,870.1934,239.6462,621.5844,1.62205,1.21665,0.20235,0.44530000000000003,7.1,7.65,2.645,725.5
